date,event,룬_콤보킬,몬스터파크,몬컬_세트,미라클_타임,샤이닝_스타포스,소울_확률,솔에르다_2배,솔에르다_타임,스타포스_1+1,스타포스_30%할인,스타포스_5_10_15,스타포스_파괴감소,어빌리티_반값,주문의_흔적_반값,트레져_헌터,헥사_스텟,현상금_사냥꾼
2020.11.01,(헌티드 하우스),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020.11.08,(헤이스트 플러스),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020.11.15,(헤이스트 플러스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.11.22,(예티는 데뷔하고 싶어!),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.11.29,(예티는 데뷔하고 싶어!),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.12.06,(예티는 데뷔하고 싶어!),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.12.13,(예티는 데뷔하고 싶어!),0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020.12.20,<NEO>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.12.27,<NEO>,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021.01.03,<NEO>,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2021.01.10,<NEO>,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021.01.17,<NEO>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.01.24,<NEO>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.01.31,<NEO>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021.02.07,<NEO>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.02.14,<NEO>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.02.21,<NEO>,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2021.02.28,(돌아온 고대 유물 대회),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.03.07,(돌아온 고대 유물 대회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021.03.14,(명탐정 페페의 탐정 사무소),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.03.21,(명탐정 페페의 탐정 사무소),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021.03.28,(봄봄봄 솔로부대 VS 커플부대),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.04.04,(봄봄봄 솔로부대 VS 커플부대),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021.04.11,(헤이스트 플러스),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021.04.18,(헤이스트 플러스),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021.04.25,<블루밍 포레스트>,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021.05.02,<블루밍 포레스트>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021.05.09,<블루밍 포레스트>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2021.05.16,<블루밍 포레스트>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021.05.23,<블루밍 포레스트>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.05.30,<블루밍 포레스트>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021.06.06,<블루밍 포레스트>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021.06.13,<블루밍 포레스트>,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2021.06.20,<메이플 LIVE>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.06.27,<메이플 LIVE>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021.07.04,<메이플 LIVE>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
